clause_id	doc	title	text	embedding
DL-07	배송 정책	배송 지연 보상	당사 귀책으로 출고가 영업일 기준 5일 이상 지연된 경우, 주문 금액의 5%를 적립금으로 보상합니다. 택배사 사정이나 천재지변으로 인한 지연은 보상 대상에서 제외됩니다.
DL-08	배송 정책	배송지 변경	출고 전에는 마이페이지에서 배송지를 변경할 수 있습니다. 출고 후에는 변경이 불가하며, 택배사에 직접 요청하셔야 합니다.
DL-09	배송 정책	부재 시 처리	수령인 부재 시 택배사 규정에 따라 재배송되거나 인근 영업소에 보관됩니다. 문 앞 배송을 원하시면 주문 시 배송 메모에 기재해 주세요.
DL-10	배송 정책	분할 배송	품절 등의 사유로 일부 상품이 먼저 출고될 수 있습니다. 이 경우 추가 배송비는 청구되지 않습니다.
DL-11	배송 정책	배송 중 분실	택배사에서 분실이 확인된 경우 재발송 또는 전액 환불 중 고객이 선택할 수 있습니다. 분실 확인에는 택배사 조사가 필요하여 영업일 기준 3~5일이 소요됩니다.
DL-12	배송 정책	품절 안내	결제 완료 후 품절이 확인되면 24시간 이내에 유선 또는 문자로 안내드리며, 해당 상품은 자동으로 결제 취소됩니다.
EX-01	교환·반품 정책	교환·반품 신청 기한	상품 수령일로부터 14일 이내에 신청할 수 있습니다. 단 상품 하자를 발견한 경우에는 하자를 안 날로부터 30일 이내, 수령일로부터 3개월 이내까지 가능합니다.
EX-02	교환·반품 정책	신청 방법	마이페이지 > 주문내역 > 교환/반품 신청에서 접수하거나, 고객센터로 연락 주시면 접수해 드립니다.
EX-03	교환·반품 정책	단순 변심 교환 배송비	사이즈·색상 변경 등 단순 변심에 의한 교환은 왕복 배송비 6,000원을 고객이 부담합니다.
EX-04	교환·반품 정책	하자 교환 배송비	상품 불량·오배송으로 인한 교환은 배송비가 발생하지 않습니다.
EX-05	교환·반품 정책	교환 소요 기간	회수된 상품이 물류센터에 도착한 후 영업일 기준 2일 이내 검수하고, 검수 통과 시 영업일 기준 1~2일 이내 교환품이 출고됩니다.
EX-06	교환·반품 정책	재고 없는 상품의 교환	교환하려는 옵션이 품절인 경우 교환이 불가하며 반품 후 환불로 전환됩니다. 이 경우 고객에게 먼저 안내드립니다.
EX-07	교환·반품 정책	교환·반품 불가 사유	(1) 상품 택(TAG)을 제거했거나 세탁·착용한 흔적이 있는 경우 (2) 구성품이나 사은품이 누락된 경우 (3) 고객의 부주의로 상품이 훼손된 경우 (4) 시간 경과로 재판매가 어려울 정도로 상품 가치가 감소한 경우
EX-08	교환·반품 정책	회수 방법	접수 완료 후 영업일 기준 1~2일 이내 지정 택배사가 방문 회수합니다. 회수일 지정은 접수 시 요청할 수 있습니다.
EX-09	교환·반품 정책	직접 발송	고객이 직접 반송하는 경우 반드시 사전에 고객센터로 연락 주셔야 합니다. 사전 연락 없이 발송된 상품은 확인이 지연될 수 있습니다.
EX-10	교환·반품 정책	부분 반품	한 주문에서 일부 상품만 반품할 수 있습니다. 부분 환불의 무료배송 기준이 동일하게 적용됩니다.
EX-11	교환·반품 정책	사은품 처리	사은품이 포함된 주문을 반품하는 경우 사은품도 함께 반송해야 합니다. 반송하지 않으면 사은품 정가가 환불 금액에서 차감됩니다.
EX-12	교환·반품 정책	재교환 제한	동일 상품에 대한 교환은 1회로 제한됩니다. 재차 문제가 있는 경우 반품 후 환불로 처리됩니다.
AS-01	불량·AS 정책	불량 판정 기준	제조 과정의 결함, 배송 중 파손, 표기와 다른 상품이 배송된 경우를 불량으로 봅니다. 고객 사용 중 발생한 파손이나 마모는 불량에 해당하지 않습니다.
AS-02	불량·AS 정책	불량 접수 시 필요 자료	불량 부위가 확인되는 사진 2장 이상을 첨부해 주셔야 접수가 완료됩니다. 사진이 없으면 판정이 지연됩니다.
AS-03	불량·AS 정책	불량 판정 소요 기간	자료 접수 후 영업일 기준 2일 이내 판정 결과를 안내드립니다.
AS-04	불량·AS 정책	무상 교환 범위	불량으로 판정된 경우 배송비 없이 동일 상품으로 무상 교환해 드립니다. 재고가 없으면 전액 환불로 전환됩니다.
AS-05	불량·AS 정책	품질보증 기간	전자제품은 구매일로부터 1년, 일반 공산품은 6개월간 품질을 보증합니다. 소모품은 보증 대상에서 제외됩니다.
AS-06	불량·AS 정책	보증 기간 내 유상 수리	보증 기간 내라도 고객 과실로 인한 고장은 유상 수리 대상입니다. 수리비는 견적 후 안내드리며, 고객 동의 없이 수리를 진행하지 않습니다.
AS-07	불량·AS 정책	제조사 AS 대상	제조사가 직접 AS를 제공하는 브랜드 상품은 제조사 서비스센터로 안내드립니다. 이 경우에도 접수는 도와드립니다.
AS-08	불량·AS 정책	수리 소요 기간	수리는 접수일로부터 영업일 기준 7~14일이 소요됩니다. 부품 수급 상황에 따라 연장될 수 있으며, 연장 시 별도로 안내드립니다.
AS-09	불량·AS 정책	반복 불량	동일 상품에서 동일 증상이 3회 이상 반복되는 경우 교환 또는 환불로 처리합니다.
AS-10	불량·AS 정책	사용 설명서 관련	사용 방법 문의는 상품 상세페이지 하단의 사용 가이드를 우선 확인해 주시고, 해결되지 않으면 고객센터로 문의해 주세요.
AS-11	불량·AS 정책	부품 구매	소모품 및 교체 부품은 별도 구매가 가능합니다. 재고 여부는 고객센터로 문의해 주세요.
MB-01	회원·적립금 정책	회원 가입 혜택	신규 가입 시 적립금 3,000원이 즉시 지급됩니다. 지급일로부터 30일간 유효합니다.
MB-02	회원·적립금 정책	기본 적립률	구매 확정 금액의 1%가 적립됩니다. 배송비와 적립금·쿠폰 사용액은 적립 대상에서 제외됩니다.
MB-03	회원·적립금 정책	회원 등급	최근 6개월 구매 금액 기준으로 등급이 산정됩니다. 일반은 30만원 미만으로 적립률 1%, 실버는 30만원 이상으로 적립률 2%, 골드는 100만원 이상으로 적립률 3%입니다.
MB-04	회원·적립금 정책	등급 산정 시점	등급은 매월 1일에 재산정됩니다.
MB-05	회원·적립금 정책	적립 시점	적립금은 구매 확정일 다음 날에 지급됩니다. 구매 확정은 배송 완료 후 7일이 지나면 자동으로 이루어집니다.
MB-06	회원·적립금 정책	적립금 사용 조건	5,000원 이상 보유 시 사용할 수 있으며, 주문 금액의 최대 50%까지 사용 가능합니다.
MB-07	회원·적립금 정책	적립금 유효 기간	지급일로부터 1년입니다. 기간이 지나면 자동 소멸되며 복원되지 않습니다.
MB-08	회원·적립금 정책	소멸 예정 안내	소멸 7일 전에 등록된 연락처로 안내드립니다.
MB-09	회원·적립금 정책	적립금 현금 전환	적립금은 현금으로 전환하거나 양도할 수 없습니다.
MB-10	회원·적립금 정책	리뷰 적립금	포토 리뷰 작성 시 500원, 텍스트 리뷰 작성 시 200원이 적립됩니다. 주문 건당 1회 지급됩니다.
MB-11	회원·적립금 정책	회원 탈퇴 시 적립금	탈퇴하면 보유 적립금은 즉시 소멸되며 재가입하더라도 복원되지 않습니다.
MB-12	회원·적립금 정책	부정 적립 환수	허위 리뷰, 중복 계정 등 부정한 방법으로 적립된 금액은 환수되며 회원 자격이 제한될 수 있습니다.
PI-01	개인정보 정책	수집 항목	회원 가입 시 이름, 이메일, 휴대전화번호를 수집하며, 주문 시 배송지 주소와 결제 정보를 추가로 수집합니다.
PI-02	개인정보 정책	보유 기간	회원 탈퇴 시 지체 없이 파기합니다. 단 관계 법령에 따라 거래 기록은 5년, 소비자 불만 및 분쟁 처리 기록은 3년간 보관합니다.
PI-03	개인정보 정책	제3자 제공	배송을 위해 택배사에 수령인 이름·주소·연락처를 제공합니다. 그 외의 목적으로는 동의 없이 제공하지 않습니다.
PI-04	개인정보 정책	열람·정정 요청	마이페이지에서 직접 조회하고 수정할 수 있습니다. 직접 처리가 어려운 항목은 고객센터로 요청해 주시면 영업일 기준 3일 이내 처리합니다.
PI-05	개인정보 정책	삭제 요청	개인정보 삭제를 요청하시면 법정 보관 항목을 제외하고 지체 없이 파기합니다.
PI-06	개인정보 정책	마케팅 수신 동의	광고성 정보 수신은 선택 사항이며, 동의하지 않아도 서비스 이용에 제한이 없습니다. 마이페이지에서 언제든 철회할 수 있습니다.
PI-07	개인정보 정책	만 14세 미만	만 14세 미만 아동은 법정대리인의 동의 없이 회원 가입을 할 수 없습니다.
PI-08	개인정보 정책	휴면 계정	1년간 로그인 기록이 없으면 휴면 계정으로 전환되고 개인정보는 분리 보관됩니다. 전환 30일 전에 안내드립니다.
PI-09	개인정보 정책	파기 방법	전자 파일은 복구가 불가능한 방식으로 삭제하고, 출력물은 분쇄하거나 소각합니다.
PI-10	개인정보 정책	문의처	개인정보 관련 문의는 개인정보 보호책임자에게 접수됩니다. 접수 후 영업일 기준 3일 이내 회신드립니다.
